Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Andradina
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;0;0;1;0;0;0;0;0;3;2023;Araçatuba;Andradina
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Andradina
TENTATIVA DE HOMICÍDIO;0;1;1;3;1;1;0;0;0;1;1;0;9;2023;Araçatuba;Andradina
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Andradina
LESÃO CORPORAL DOLOSA;23;14;26;14;27;13;27;17;28;25;28;23;265;2023;Araçatuba;Andradina
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;19;7;17;12;33;24;24;14;17;21;16;20;224;2023;Araçatuba;Andradina
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;2;0;1;0;0;1;1;0;0;0;5;2023;Araçatuba;Andradina
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Andradina
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Andradina
TOTAL DE ESTUPRO (4);0;3;4;2;5;4;2;3;1;0;0;1;25;2023;Araçatuba;Andradina
ESTUPRO;0;1;1;1;0;1;0;1;0;0;0;0;5;2023;Araçatuba;Andradina
ESTUPRO DE VULNERÁVEL;0;2;3;1;5;3;2;2;1;0;0;1;20;2023;Araçatuba;Andradina
TOTAL DE ROUBO - OUTROS (1);6;5;3;2;1;2;2;3;2;2;3;0;31;2023;Araçatuba;Andradina
ROUBO - OUTROS;5;5;3;2;1;2;2;3;2;1;3;0;29;2023;Araçatuba;Andradina
ROUBO DE VEÍCULO;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Andradina
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Andradina
ROUBO DE CARGA;1;0;0;0;0;0;0;0;0;1;0;0;2;2023;Araçatuba;Andradina
FURTO - OUTROS;70;57;42;66;75;49;41;66;46;53;45;42;652;2023;Araçatuba;Andradina
FURTO DE VEÍCULO;3;4;4;5;1;3;1;1;0;5;0;1;28;2023;Araçatuba;Andradina
HOMICÍDIO DOLOSO (2);3;4;1;2;3;1;1;1;1;8;3;2;30;2023;Araçatuba;Araçatuba
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);4;4;1;2;3;2;1;1;1;8;3;2;32;2023;Araçatuba;Araçatuba
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Araçatuba
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Araçatuba
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;2;2;2;2;2;2;0;2;2;4;21;2023;Araçatuba;Araçatuba
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Araçatuba
TENTATIVA DE HOMICÍDIO;4;3;6;1;1;2;1;2;5;2;5;2;34;2023;Araçatuba;Araçatuba
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;1;0;0;0;0;0;0;1;2;2023;Araçatuba;Araçatuba
LESÃO CORPORAL DOLOSA;54;52;88;69;65;50;56;66;96;85;87;97;865;2023;Araçatuba;Araçatuba
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;77;84;115;83;104;107;107;112;114;100;83;102;1.188;2023;Araçatuba;Araçatuba
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;3;2;3;5;3;4;3;0;2;1;27;2023;Araçatuba;Araçatuba
LATROCÍNIO;0;0;2;0;0;0;0;0;0;0;0;0;2;2023;Araçatuba;Araçatuba
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;2;0;0;0;0;0;0;0;0;0;2;2023;Araçatuba;Araçatuba
TOTAL DE ESTUPRO (4);5;6;6;6;4;2;4;5;4;8;3;6;59;2023;Araçatuba;Araçatuba
ESTUPRO;1;3;2;3;2;0;0;0;0;6;0;1;18;2023;Araçatuba;Araçatuba
ESTUPRO DE VULNERÁVEL;4;3;4;3;2;2;4;5;4;2;3;5;41;2023;Araçatuba;Araçatuba
TOTAL DE ROUBO - OUTROS (1);13;7;13;14;12;13;7;12;9;12;9;9;130;2023;Araçatuba;Araçatuba
ROUBO - OUTROS;13;7;13;14;12;13;7;12;9;12;9;9;130;2023;Araçatuba;Araçatuba
ROUBO DE VEÍCULO;1;0;0;1;1;0;1;0;1;1;2;3;11;2023;Araçatuba;Araçatuba
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Araçatuba
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Araçatuba
FURTO - OUTROS;193;165;216;176;202;148;202;196;182;205;178;234;2.297;2023;Araçatuba;Araçatuba
FURTO DE VEÍCULO;12;2;11;5;18;8;9;13;13;17;33;29;170;2023;Araçatuba;Araçatuba
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;1;0;1;2;2023;Araçatuba;Auriflama
HOMICÍDIO CULPOSO OUTROS;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Auriflama
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;0;0;0;0;0;2;0;3;2023;Araçatuba;Auriflama
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
LESÃO CORPORAL DOLOSA;4;3;0;5;0;3;6;2;3;11;9;5;51;2023;Araçatuba;Auriflama
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;3;4;3;1;3;3;3;1;5;0;3;36;2023;Araçatuba;Auriflama
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Auriflama
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;2;0;0;0;0;2;2023;Araçatuba;Auriflama
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;2;0;0;0;0;2;2023;Araçatuba;Auriflama
TOTAL DE ROUBO - OUTROS (1);1;0;1;0;0;0;0;0;1;0;0;0;3;2023;Araçatuba;Auriflama
ROUBO - OUTROS;1;0;1;0;0;0;0;0;1;0;0;0;3;2023;Araçatuba;Auriflama
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Auriflama
FURTO - OUTROS;10;7;12;5;4;0;5;5;7;3;4;5;67;2023;Araçatuba;Auriflama
FURTO DE VEÍCULO;0;0;0;0;1;0;1;0;0;0;0;0;2;2023;Araçatuba;Auriflama
HOMICÍDIO DOLOSO (2);0;1;0;0;1;0;0;0;0;0;0;0;2;2023;Araçatuba;Avanhandava
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;1;0;0;0;0;0;0;0;2;2023;Araçatuba;Avanhandava
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Avanhandava
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Avanhandava
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
LESÃO CORPORAL DOLOSA;2;3;3;5;4;3;2;1;3;2;4;4;36;2023;Araçatuba;Avanhandava
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;1;2;1;2;0;0;1;0;1;8;2023;Araçatuba;Avanhandava
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
LATROCÍNIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Avanhandava
Nº DE VÍTIMAS EM LATROCÍNIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Avanhandava
TOTAL DE ESTUPRO (4);0;0;0;0;3;0;0;0;0;0;1;0;4;2023;Araçatuba;Avanhandava
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
ESTUPRO DE VULNERÁVEL;0;0;0;0;3;0;0;0;0;0;1;0;4;2023;Araçatuba;Avanhandava
TOTAL DE ROUBO - OUTROS (1);1;1;2;0;0;0;0;0;0;0;0;0;4;2023;Araçatuba;Avanhandava
ROUBO - OUTROS;1;1;2;0;0;0;0;0;0;0;0;0;4;2023;Araçatuba;Avanhandava
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Avanhandava
FURTO - OUTROS;15;9;10;5;8;6;3;2;5;3;3;5;74;2023;Araçatuba;Avanhandava
FURTO DE VEÍCULO;0;0;0;1;2;1;0;0;2;1;0;0;7;2023;Araçatuba;Avanhandava
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;0;0;0;0;0;0;0;1;0;1;4;2023;Araçatuba;Barbosa
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Araçatuba;Barbosa
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
LESÃO CORPORAL DOLOSA;5;1;4;4;2;0;3;1;3;4;5;5;37;2023;Araçatuba;Barbosa
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;1;1;2;0;1;0;0;1;0;2;0;9;2023;Araçatuba;Barbosa
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
TOTAL DE ESTUPRO (4);0;2;0;0;1;0;0;1;2;0;0;0;6;2023;Araçatuba;Barbosa
ESTUPRO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Barbosa
ESTUPRO DE VULNERÁVEL;0;1;0;0;1;0;0;1;2;0;0;0;5;2023;Araçatuba;Barbosa
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Araçatuba;Barbosa
ROUBO - OUTROS;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Araçatuba;Barbosa
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Barbosa
FURTO - OUTROS;8;6;7;2;3;5;1;6;5;2;9;7;61;2023;Araçatuba;Barbosa
FURTO DE VEÍCULO;1;0;0;1;1;1;0;2;0;1;0;0;7;2023;Araçatuba;Barbosa
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;1;0;0;0;1;2023;Araçatuba;Bento de Abreu
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;1;0;0;0;1;2023;Araçatuba;Bento de Abreu
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
LESÃO CORPORAL DOLOSA;0;1;1;0;0;0;0;0;1;0;2;0;5;2023;Araçatuba;Bento de Abreu
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Araçatuba;Bento de Abreu
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Araçatuba;Bento de Abreu
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Araçatuba;Bento de Abreu
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
FURTO - OUTROS;1;0;3;0;1;0;2;0;0;0;2;0;9;2023;Araçatuba;Bento de Abreu
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bento de Abreu
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Araçatuba;Bilac
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Bilac
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
LESÃO CORPORAL DOLOSA;4;1;4;2;0;5;2;2;0;3;5;2;30;2023;Araçatuba;Bilac
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;1;3;2;2;1;1;0;2;1;0;1;16;2023;Araçatuba;Bilac
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
TOTAL DE ESTUPRO (4);0;0;0;0;0;1;1;0;0;0;0;1;3;2023;Araçatuba;Bilac
ESTUPRO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Araçatuba;Bilac
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;1;0;0;0;0;0;1;2;2023;Araçatuba;Bilac
TOTAL DE ROUBO - OUTROS (1);1;1;0;0;0;0;0;0;0;0;0;0;2;2023;Araçatuba;Bilac
ROUBO - OUTROS;1;1;0;0;0;0;0;0;0;0;0;0;2;2023;Araçatuba;Bilac
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
FURTO - OUTROS;6;1;4;3;3;2;3;1;2;6;1;1;33;2023;Araçatuba;Bilac
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Bilac
HOMICÍDIO DOLOSO (2);0;1;0;1;0;1;1;0;1;0;1;1;7;2023;Araçatuba;Birigui
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;1;0;1;1;0;1;0;2;1;8;2023;Araçatuba;Birigui
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Birigui
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Birigui
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;2;0;2;1;2;1;4;2;1;0;1;18;2023;Araçatuba;Birigui
HOMICÍDIO CULPOSO OUTROS;1;0;0;1;0;0;0;0;0;0;0;0;2;2023;Araçatuba;Birigui
TENTATIVA DE HOMICÍDIO;2;1;0;0;2;0;0;2;1;1;2;1;12;2023;Araçatuba;Birigui
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;1;0;0;0;1;2023;Araçatuba;Birigui
LESÃO CORPORAL DOLOSA;31;26;37;28;25;38;31;35;29;42;33;51;406;2023;Araçatuba;Birigui
